项目	规则	公式	上线时间
神经纤维瘤去除费（常规）-累及重要器官或功能部位（加收）	存在单条项目的封顶价，存在单位换算	"1个神经纤维瘤：471元*1个=471元
2个神经纤维瘤：471元*2个=942元
3个神经纤维瘤：471元*3个=1413元
（※单神经纤维瘤形收费最高1500元）"	12月30
"
神经纤维瘤去除费（复杂）"	存在单条项目的封顶价，存在单位换算	"①一个（头面部）：
4平方厘米：1413元*1数量=1413元
8平方厘米：1413元*2数量=2826元
12平方厘米：1413元*3数量=4239元
一个（躯干部）：
144平方厘米：1413元*1数量=1413元
288平方厘米：1413元*2数量=2826元
432平方厘米：1413元*3数量=4239元
一个（1%体表）：
1%体表面积：1413元*1数量=1413元
2%体表面积：1413元*2数量=2826元
3%体表面积：1413元*3数量=4239元
（※单复杂神经纤维瘤收费最高4300元）
②神经纤维瘤两个及以上按照实际开立数量情况相加计算"	12月30
神经纤维瘤去除费（复杂）-儿童（加收）	存在单条项目的封顶价，存在单位换算	按上方原项目的金额x30%	12月30
神经纤维瘤去除费（复杂）-累及重要器官或功能部位（加收）	不同部位，基础计价方式不同，且有封顶价与单位换算	"1个神经纤维瘤：707元*1个=707元
2个神经纤维瘤：1414元*2个=1414元
3个神经纤维瘤：707元*3个=2121元
（※单复杂神经纤维瘤形加收最高2200元）"	12月30
带蒂皮瓣转移费	同一手术有最高限价，同一条医嘱项目也有最高限价，且涉及单位换算	每个皮瓣以15平方厘米为基础计价，超过15平方厘米的，每平方厘米加收15%，金额=单价x【1+（{面积/15 向上取整}x15%）】	12月30
带蒂皮瓣转移费-儿童（加收）	同一手术有最高限价，同一条医嘱项目也有最高限价，且涉及单位换算	每个皮瓣以15平方厘米为基础计价，超过15平方厘米的，每平方厘米加收15%，金额=单价x【1+（{面积/15 向上取整}x15%）】	12月30
带蒂皮瓣转移费-穿支皮瓣（加收）	同一手术有最高限价，同一条医嘱项目也有最高限价，且涉及单位换算	每个皮瓣以15平方厘米为基础计价，超过15平方厘米的，每平方厘米加收15%，金额=单价x【1+（{面积/15 向上取整}x15%）】	12月30
"带蒂皮瓣转移费-逆行供血皮瓣
（加收）"	同一手术有最高限价，同一条医嘱项目也有最高限价，且涉及单位换算	每个皮瓣以15平方厘米为基础计价，超过15平方厘米的，每平方厘米加收15%，金额=单价x【1+（{面积/15 向上取整}x15%）】	12月30
带蒂皮瓣转移费-扩张皮瓣（加收）	同一手术有最高限价，同一条医嘱项目也有最高限价，且涉及单位换算	每个皮瓣以15平方厘米为基础计价，超过15平方厘米的，每平方厘米加收15%，金额=单价x【1+（{面积/15 向上取整}x15%）】	12月30
带蒂皮瓣转移费-预构皮瓣（加收）	同一手术有最高限价，同一条医嘱项目也有最高限价，且涉及单位换算	每个皮瓣以15平方厘米为基础计价，超过15平方厘米的，每平方厘米加收15%，金额=单价x【1+（{面积/15 向上取整}x15%）】	12月30
游离皮瓣移植费	同一手术有最高限价，同一条医嘱项目也有最高限价，且涉及单位换算	每个皮瓣以15平方厘米为基础计价，超过15平方厘米的，每平方厘米加收15%，金额=单价x【1+（{面积/15 向上取整}x15%）】	12月30
游离皮瓣移植费-儿童（加收）	同一手术有最高限价，同一条医嘱项目也有最高限价，且涉及单位换算	每个皮瓣以15平方厘米为基础计价，超过15平方厘米的，每平方厘米加收15%，金额=单价x【1+（{面积/15 向上取整}x15%）】	12月30
游离皮瓣移植费-穿支皮瓣（加收）	同一手术有最高限价，同一条医嘱项目也有最高限价，且涉及单位换算	每个皮瓣以15平方厘米为基础计价，超过15平方厘米的，每平方厘米加收15%，金额=单价x【1+（{面积/15 向上取整}x15%）】	12月30
游离皮瓣移植费-扩张皮瓣（加收）	同一手术有最高限价，同一条医嘱项目也有最高限价，且涉及单位换算	每个皮瓣以15平方厘米为基础计价，超过15平方厘米的，每平方厘米加收15%，金额=单价x【1+（{面积/15 向上取整}x15%）】	12月30
游离皮瓣移植费-预构皮瓣（加收）	同一手术有最高限价，同一条医嘱项目也有最高限价，且涉及单位换算	每个皮瓣以15平方厘米为基础计价，超过15平方厘米的，每平方厘米加收15%，金额=单价x【1+（{面积/15 向上取整}x15%）】	12月30
游离复合组织瓣移植费	同一手术有最高限价，同一条医嘱项目也有最高限价，且涉及单位换算	每个皮瓣以15平方厘米为基础计价，超过15平方厘米的，每平方厘米加收15%，金额=单价x【1+（{面积/15 向上取整}x15%）】	12月30
"游离复合组织瓣移植费-儿童
（加收）"	同一手术有最高限价，同一条医嘱项目也有最高限价，且涉及单位换算	每个皮瓣以15平方厘米为基础计价，超过15平方厘米的，每平方厘米加收15%，金额=单价x【1+（{面积/15 向上取整}x15%）】	12月30
带蒂复合组织瓣转移费	同一手术有最高限价，同一条医嘱项目也有最高限价，且涉及单位换算	每个皮瓣以15平方厘米为基础计价，超过15平方厘米的，每平方厘米加收15%，金额=单价x【1+（{面积/15 向上取整}x15%）】	12月30
"带蒂复合组织瓣转移费-儿童
（加收）"	同一手术有最高限价，同一条医嘱项目也有最高限价，且涉及单位换算	每个皮瓣以15平方厘米为基础计价，超过15平方厘米的，每平方厘米加收15%，金额=单价x【1+（{面积/15 向上取整}x15%）】	12月30
